"id","masterdataid","eqpt_type","name","type","gearbox","rpm_max","rpm_mcr","rpm_min","power_mcr","ratio_power_max","ratio_power_min","name_manufacturer","diameter","design_pitch","takeoff","takein","license"
"b134b850-6871-4742-8ced-3f02d29be96c","164e150d-ac45-400e-88ed-eb8b6aadbe9f","boiler","kangrim","","0","0.000","0.000","0.000","0.000","0.000","0.000","","0.000","0.000","0.000","0.000",""
"455afd2f-0b46-4cf9-bf30-6cc81cf79f9a","164e150d-ac45-400e-88ed-eb8b6aadbe9f","unknown","AC1","","0","0.000","0.000","0.000","0.000","0.000","0.000","","0.000","0.000","0.000","0.000",""
"9a18d076-b453-4214-af3f-4c88c36f3ee3","164e150d-ac45-400e-88ed-eb8b6aadbe9f","propeller","Propeller1","fixed","0","0.000","0.000","0.000","0.000","0.000","0.000","","7.400","5.971","0.000","0.000",""
"aa25e7a4-4446-4627-804a-2d77c632857d","164e150d-ac45-400e-88ed-eb8b6aadbe9f","engine","AE consumption","","0","0.000","0.000","0.000","1280.000","0.800","0.400","","0.000","0.000","0.000","0.000",""
"49dca5a8-4418-414a-b2d7-375b9b19efee","164e150d-ac45-400e-88ed-eb8b6aadbe9f","engine","AE2","","0","0.000","0.000","0.000","1280.000","0.800","0.400","","0.000","0.000","0.000","0.000",""
"c6513d59-594d-4226-928d-bc6ae745fa36","164e150d-ac45-400e-88ed-eb8b6aadbe9f","engine","AE3","","0","0.000","0.000","0.000","1280.000","0.800","0.400","","0.000","0.000","0.000","0.000",""
"17ba8b51-f2c7-4290-a6be-a08fe9f4ae4c","164e150d-ac45-400e-88ed-eb8b6aadbe9f","compressors","cargo compressor","","0","0.000","0.000","0.000","0.000","0.000","0.000","","0.000","0.000","0.000","0.000",""
"ba4f9361-6f84-4c12-bc3e-cdead92480d9","164e150d-ac45-400e-88ed-eb8b6aadbe9f","engine","ME1","6G60ME-C9.2-TII","0","89.000","92.200","23.000","12400.000","0.900","0.200","","0.000","0.000","0.000","0.000",""
"1dcb19b5-1cbc-49cc-b5e0-654430c2408e","164e150d-ac45-400e-88ed-eb8b6aadbe9f","other_minor","Incinerator ","","0","0.000","0.000","0.000","0.000","0.000","0.000","","0.000","0.000","0.000","0.000",""
"b395131a-71fc-4db5-bd9f-87576d55a4bb","164e150d-ac45-400e-88ed-eb8b6aadbe9f","ReLiquefactionPlant","RL1 PORT","","0","0.000","0.000","0.000","0.000","0.000","0.000","","0.000","0.000","0.000","0.000",""
"7716d981-a9d3-4567-ad7e-950fce62c0c2","164e150d-ac45-400e-88ed-eb8b6aadbe9f","ReLiquefactionPlant","RL2 CENTRE","","0","0.000","0.000","0.000","0.000","0.000","0.000","","0.000","0.000","0.000","0.000",""
"cbc0673a-1fe4-4fa0-a9d5-7c439ef086af","164e150d-ac45-400e-88ed-eb8b6aadbe9f","ReLiquefactionPlant","RL3 STBD","","0","0.000","0.000","0.000","0.000","0.000","0.000","","0.000","0.000","0.000","0.000",""
